method,L0_Hourly,L0_Daily,L1_Hourly,L1_Daily,L2_Hourly,L2_Daily
ctbu_ets,55.64,5.25,56.95,6.87,52.9,9.48
ctbu_ets_author,55.43,5.24,56.45,6.86,47.45,9.48
ctbu_lgbm,55.64,5.31,56.86,7.22,55.58,10.53
ctbu_lgbm_nwp,56.26,5.31,57.6,7.13,54.69,10.24
ctbu_rf,54.24,5.82,55.57,7.6,51.96,10.35
ctbu_rf_nwp,55.15,5.61,56.6,7.39,51.48,10.08
ctbu_sarimax,57.69,4.89,58.56,6.71,58.56,10.09
ctbu_sarimax_nwp,56.33,4.42,57.4,6.31,54.09,9.7
ctwlsv_ets,55.34,5.32,56.59,6.95,52.19,9.55
ctwlsv_ets_author,55.18,5.31,56.26,6.95,47.27,9.55
ctwlsv_lgbm,55.59,5.29,56.82,7.21,55.36,10.52
ctwlsv_lgbm_nwp,55.85,5.28,57.14,7.12,53.96,10.23
ctwlsv_rf,54.2,5.8,55.54,7.59,51.77,10.34
ctwlsv_rf_nwp,54.67,5.62,55.99,7.41,51.05,10.1
ctwlsv_sarimax,57.5,4.85,58.3,6.69,56.9,10.07
ctwlsv_sarimax_nwp,56.25,4.46,57.25,6.36,54.19,9.74
ets_author_base,55.16,7.06,57.04,8.7,21.43,11.22
ets_base,41.88,7.06,42.23,8.7,21.43,11.22
lgbm_base,43.9,7.18,44.33,9.71,50.5,13.25
lgbm_nwp_base,43.9,7.18,44.33,9.71,21.43,13.25
pers,10.86,7.75,12.94,9.78,20.2,13.05
rf_base,38.93,5.82,40.36,7.49,48.13,10.1
rf_nwp_base,38.93,5.82,40.36,7.49,21.43,10.1
sarimax_base,46.63,4.85,51.23,6.98,56.26,10.34
sarimax_nwp_base,46.63,4.85,51.23,6.98,21.43,10.34
