method,L0_Hourly,L0_Daily,L1_Hourly,L1_Daily,L2_Hourly,L2_Daily
ctbu_ets,1.57,1.57,1.45,1.45,1.6,1.6
ctbu_ets_author,1.43,1.43,1.32,1.32,1.45,1.45
ctbu_lgbm,-1.35,-1.35,-1.29,-1.29,-1.37,-1.37
ctbu_lgbm_nwp,0.31,0.31,0.31,0.31,0.31,0.31
ctbu_rf,-2.72,-2.72,-2.63,-2.63,-2.75,-2.75
ctbu_rf_nwp,-1.63,-1.63,-1.58,-1.58,-1.64,-1.64
ctbu_sarimax,-3.49,-3.49,-3.24,-3.24,-3.57,-3.57
ctbu_sarimax_nwp,-1.25,-1.25,-1.18,-1.18,-1.28,-1.28
ctwlsv_ets,1.42,1.42,1.3,1.3,1.45,1.45
ctwlsv_ets_author,1.31,1.31,1.2,1.2,1.34,1.34
ctwlsv_lgbm,-1.29,-1.29,-1.24,-1.24,-1.31,-1.31
ctwlsv_lgbm_nwp,0.24,0.24,0.23,0.23,0.23,0.23
ctwlsv_rf,-2.66,-2.66,-2.56,-2.56,-2.69,-2.69
ctwlsv_rf_nwp,-1.7,-1.7,-1.65,-1.65,-1.72,-1.72
ctwlsv_sarimax,-3.33,-3.33,-3.1,-3.1,-3.41,-3.41
ctwlsv_sarimax_nwp,-1.44,-1.44,-1.4,-1.4,-1.47,-1.47
ets_author_base,0.39,-0.95,0.13,-0.98,4.36,-0.94
ets_base,0.63,-0.95,0.5,-0.96,4.36,-0.93
lgbm_base,-1.03,-3.63,-2.06,-5.66,-2.47,-7.78
lgbm_nwp_base,-1.03,-3.63,-2.06,-5.66,4.36,-7.78
pers,-0.08,-0.08,-0.06,-0.06,-0.08,-0.08
rf_base,-1.84,-0.37,-2.42,-0.45,-3.88,0.21
rf_nwp_base,-1.84,-0.37,-2.42,-0.45,4.36,0.21
sarimax_base,-1.83,-0.59,-4.83,-1.12,-5.14,-1.15
sarimax_nwp_base,-1.83,-0.59,-4.83,-1.12,4.36,-1.15
