method,L0_Hourly,L0_Daily,L1_Hourly,L1_Daily,L2_Hourly,L2_Daily
ctbu_ets,23.55,13.47,30.16,16.82,44.45,22.15
ctbu_ets_author,23.5,13.42,30.13,16.78,44.42,22.12
ctbu_lgbm,24.34,13.14,31.75,17.13,49.08,24.04
ctbu_lgbm_nwp,25.71,13.4,32.86,17.22,50.04,23.65
ctbu_rf,25.69,14.45,32.56,18.05,46.68,23.54
ctbu_rf_nwp,25.58,14.14,32.5,17.73,47.08,23.11
ctbu_sarimax,30.66,11.33,36.39,15.34,53.08,22.46
ctbu_sarimax_nwp,23.85,10.59,31.39,14.82,49.31,21.99
ctwlsv_ets,23.66,13.68,30.24,17.04,44.47,22.29
ctwlsv_ets_author,23.63,13.64,30.21,17.01,44.44,22.27
ctwlsv_lgbm,24.2,13.09,31.67,17.11,49.03,24.02
ctwlsv_lgbm_nwp,24.89,13.29,32.21,17.16,49.6,23.61
ctwlsv_rf,25.62,14.42,32.51,18.03,46.64,23.52
ctwlsv_rf_nwp,25.25,14.16,32.18,17.76,46.84,23.13
ctwlsv_sarimax,30.04,11.28,35.87,15.33,52.68,22.44
ctwlsv_sarimax_nwp,23.82,10.64,31.33,14.88,49.29,22.04
ets_author_base,27.85,18.17,34.24,20.94,53.46,25.82
ets_base,27.82,18.17,34.22,20.82,53.46,25.78
lgbm_base,24.64,16.95,34.74,22.11,50.98,28.79
lgbm_nwp_base,24.64,16.95,34.74,22.11,53.46,28.79
pers,34.62,20.23,43.15,24.57,59.75,30.65
rf_base,24.29,14.64,32.45,17.99,47.16,23.28
rf_nwp_base,24.29,14.64,32.45,17.99,53.46,23.28
sarimax_base,29.46,11.91,42.03,16.44,58,23.59
sarimax_nwp_base,29.46,11.91,42.03,16.44,53.46,23.59
