method,L0_Hourly,L0_Daily,L1_Hourly,L1_Daily,L2_Hourly,L2_Daily
ctbu_ets,31.98,33.41,30.17,31.63,25.8,27.91
ctbu_ets_author,32.12,33.67,30.24,31.82,25.85,28.02
ctbu_lgbm,29.69,35.05,26.3,30.23,17.86,21.52
ctbu_lgbm_nwp,25.73,33.74,23.61,29.89,16.29,22.85
ctbu_rf,25.8,28.59,24.54,26.55,21.98,23.25
ctbu_rf_nwp,26.11,30.13,24.71,27.89,21.35,24.69
ctbu_sarimax,11.44,44.01,16.24,37.71,11.61,27.01
ctbu_sarimax_nwp,31.09,47.68,27.26,39.71,17.81,28.58
ctwlsv_ets,31.64,32.4,30,30.73,25.77,27.44
ctwlsv_ets_author,31.75,32.58,30.05,30.85,25.81,27.51
ctwlsv_lgbm,30.1,35.29,26.49,30.32,17.95,21.57
ctwlsv_lgbm_nwp,28.09,34.32,25.17,30.1,17.03,22.98
ctwlsv_rf,25.99,28.72,24.66,26.62,22.05,23.31
ctwlsv_rf_nwp,27.05,30.03,25.45,27.74,21.75,24.6
ctwlsv_sarimax,13.23,44.24,17.53,37.79,12.29,27.08
ctwlsv_sarimax_nwp,31.2,47.41,27.51,39.5,17.86,28.42
ets_author_base,19.56,10.19,20.88,15.05,11.34,16.07
ets_base,19.63,10.19,20.93,15.46,11.34,16.18
lgbm_base,28.82,16.21,19.38,9.02,14.64,5.84
lgbm_nwp_base,28.82,16.21,19.38,9.02,11.34,5.84
pers,0,0,0,0,0,0
rf_base,29.82,27.64,24.72,26.9,21.17,24.26
rf_nwp_base,29.82,27.64,24.72,26.9,11.34,24.26
sarimax_base,14.9,41.11,4.47,33.3,3.4,23.43
sarimax_nwp_base,14.9,41.11,4.47,33.3,11.34,23.43
