method,level,freq,mean_nRMSE,median_nRMSE,sd_nRMSE,min_nRMSE,max_nRMSE,mean_nMBE,median_nMBE,sd_nMBE,mean_skill,median_skill,mean_SMAPE,median_SMAPE,n_series
ctbu_ets,L0,Daily,13.4721502894183,13.4721502894183,,13.4721502894183,13.4721502894183,1.56984417194163,1.56984417194163,,33.4087714969926,33.4087714969926,5.25482055062775,5.25482055062775,1
ctbu_ets,L0,Hourly,23.5453299250647,23.5453299250647,,23.5453299250647,23.5453299250647,1.56984417194163,1.56984417194163,,31.9804908425926,31.9804908425926,55.6408435940156,55.6408435940156,1
ctbu_ets,L1,Daily,16.8247588165644,17.4229471912419,4.04471420012509,11.0139765337073,22.0536928909801,1.45327382245746,1.37977716516885,0.492928146207607,31.6306714822581,31.6758350832136,6.86742737755975,6.72079352628787,5
ctbu_ets,L1,Hourly,30.157933641641,30.9328152532888,6.98630740518457,20.2154932597548,39.7435007341724,1.45327382245746,1.37977716516885,0.492928146207601,30.1677453923359,29.6167675349733,56.9480688572919,57.3200377198029,5
ctbu_ets,L2,Daily,22.1470596454653,22.9731324483511,4.74772685477504,12.0698327342521,37.1204671184539,1.59778056022638,1.45473955987717,0.88897458738336,27.9127326937731,28.0121575993207,9.48121553578857,9.4686423522769,318
ctbu_ets,L2,Hourly,44.4537482079794,45.9351701277543,8.58907611299066,25.9764481412949,70.1006015673666,1.59778056022461,1.45473955987718,0.888974587383239,25.8020463649135,26.0347164933214,52.8979574931354,53.2705546269674,318
ctbu_ets_author,L0,Daily,13.4201117883209,13.4201117883209,,13.4201117883209,13.4201117883209,1.42904647310217,1.42904647310217,,33.6659915875561,33.6659915875561,5.23895290140871,5.23895290140871,1
ctbu_ets_author,L0,Hourly,23.4986329752312,23.4986329752312,,23.4986329752312,23.4986329752312,1.42904647310217,1.42904647310217,,32.1153924819807,32.1153924819807,55.4270429222306,55.4270429222306,1
ctbu_ets_author,L1,Daily,16.780480162102,17.3672292397381,4.04408847502259,10.9804062074999,22.0141782745932,1.32047104845661,1.24570389052903,0.450404074202812,31.817094498258,31.8840854364887,6.86258373468044,6.71625121063974,5
ctbu_ets_author,L1,Hourly,30.1269001095152,30.8929586337129,6.97435395931735,20.2006688404661,39.69018102829,1.32047104845661,1.24570389052903,0.450404074202811,30.2384279621853,29.6683809453189,56.4511664768766,56.7967749304478,5
ctbu_ets_author,L2,Daily,22.1162238223353,22.937296176794,4.75195911100818,12.0403118366374,37.1400197794995,1.45425108008971,1.30044275916195,0.880779061465233,28.0177828508621,28.0736454710328,9.48358963806539,9.46133039548275,318
ctbu_ets_author,L2,Hourly,44.4221407071666,45.8927885766607,8.57981725070161,25.9971869517558,70.0545322232814,1.45425108008182,1.30044275916195,0.880779061469424,25.8535611509499,26.1056318780441,47.4484966217819,47.936553426438,318
ctbu_lgbm,L0,Daily,13.1410592975005,13.1410592975005,,13.1410592975005,13.1410592975005,-1.34538434706943,-1.34538434706943,,35.0453146934712,35.0453146934712,5.30798629695137,5.30798629695137,1
ctbu_lgbm,L0,Hourly,24.3369677015061,24.3369677015061,,24.3369677015061,24.3369677015061,-1.34538434706944,-1.34538434706944,,29.6935484571864,29.6935484571864,55.6368286211031,55.6368286211031,1
ctbu_lgbm,L1,Daily,17.1298813096377,17.3688345648838,4.06389886055276,11.6143995682399,22.7355121760547,-1.28898154976955,-1.22109776635482,0.431566800827404,30.2309435321368,30.6547067064009,7.22376456132123,6.97810235368805,5
ctbu_lgbm,L1,Hourly,31.745110378086,31.9978974223611,7.0913727757356,22.131415316777,41.8407800294514,-1.28898154976955,-1.22109776635482,0.431566800827397,26.3006404529309,26.5517021608939,56.8562002719169,57.0290598762269,5
ctbu_lgbm,L2,Daily,24.0390403215316,24.501849044732,5.02857371530721,13.2060820820812,39.2551612142258,-1.36533927745506,-1.26430831643427,0.789855822903002,21.5231804633174,21.5108424588868,10.525247513475,10.6044804248213,318
ctbu_lgbm,L2,Hourly,49.0782457996079,50.0801604237473,9.03943045624362,28.6637955756814,74.9618586610015,-1.36533927746057,-1.26430831643427,0.78985582289928,17.8562716722191,17.5467871859237,55.577224637148,55.8287466778096,318
ctbu_lgbm_nwp,L0,Daily,13.4041677093196,13.4041677093196,,13.4041677093196,13.4041677093196,0.311149715809252,0.311149715809252,,33.7448012642032,33.7448012642032,5.30590541092186,5.30590541092186,1
ctbu_lgbm_nwp,L0,Hourly,25.7091211398786,25.7091211398786,,25.7091211398786,25.7091211398786,0.311149715809254,0.311149715809254,,25.7295690326557,25.7295690326557,56.2554940227337,56.2554940227337,1
ctbu_lgbm_nwp,L1,Daily,17.2203913097006,17.4685850160488,4.10536528109202,11.6044615398723,22.8763312125432,0.3131723078429,0.33810587989853,0.137110153843322,29.8855317109874,29.9037351588171,7.12872727208363,6.91168547054293,5
ctbu_lgbm_nwp,L1,Hourly,32.8617812433818,32.8477240518644,7.19096550862814,23.1536445660846,43.2264759622786,0.3131723078429,0.338105879898534,0.13711015384332,23.6139264564489,23.1077377028978,57.6011370198111,57.7920757909799,5
ctbu_lgbm_nwp,L2,Daily,23.6455315341316,24.1237854734151,4.94163284620347,13.3435170857281,38.10757698023,0.307504819628618,0.316629981973001,0.613677332903306,22.8541270529352,22.3196002219524,10.2373329602681,10.2276090824626,318
ctbu_lgbm_nwp,L2,Hourly,50.0394390683322,50.8251607335995,9.31942247130198,30.6869724900736,76.8971535929804,0.307504819628617,0.316629981972998,0.613677332903305,16.2909085014497,16.0600893392377,54.6868156231058,54.8772819740693,318
ctbu_rf,L0,Daily,14.4470212681569,14.4470212681569,,14.4470212681569,14.4470212681569,-2.71919980622713,-2.71919980622713,,28.5901007791398,28.5901007791398,5.82025651872573,5.82025651872573,1
ctbu_rf,L0,Hourly,25.6861869784921,25.6861869784921,,25.6861869784921,25.6861869784921,-2.71919980622713,-2.71919980622713,,25.7958229524525,25.7958229524525,54.238086218653,54.238086218653,1
ctbu_rf,L1,Daily,18.0462009657264,18.5205108914204,4.25423233846086,12.0670959812261,23.6832693371786,-2.62966558322564,-2.65003074198279,0.516420520597165,26.552085074134,26.5231003042141,7.60093801368587,7.36526390021884,5
ctbu_rf,L1,Hourly,32.5648080217925,33.1748892237727,7.45008071591697,22.1482026185953,42.840120839936,-2.62966558322564,-2.65003074198279,0.516420520597158,24.5391156479421,24.5105255040589,55.5692478982863,56.0433705873859,5
ctbu_rf,L2,Daily,23.5365443952976,24.1708662743898,4.89949442363697,12.9743277065119,38.7340518979726,-2.74719714798376,-2.78156846998198,0.635975625396128,23.2539560634924,23.5172328126104,10.3549157687277,10.3517890444936,318
ctbu_rf,L2,Hourly,46.6820312733464,48.0041736852513,8.74523044659694,27.255190685326,72.2806082955816,-2.74719714798879,-2.78156846998197,0.63597562539359,21.9801135414129,22.1229959748082,51.9591726868496,51.9546368459983,318
ctbu_rf_nwp,L0,Daily,14.1350678229106,14.1350678229106,,14.1350678229106,14.1350678229106,-1.63064401344032,-1.63064401344032,,30.1320493700053,30.1320493700053,5.60879393103882,5.60879393103882,1
ctbu_rf_nwp,L0,Hourly,25.5771363932224,25.5771363932224,,25.5771363932224,25.5771363932224,-1.63064401344032,-1.63064401344032,,26.1108564349724,26.1108564349724,55.1456341243795,55.1456341243795,1
ctbu_rf_nwp,L1,Daily,17.7273809102897,18.208911122651,4.21005438357296,11.7605985358937,23.2454967236897,-1.57627320290241,-1.65275981375347,0.322996043157449,27.8923797436581,27.70968124569,7.39393488173188,7.15822981994082,5
ctbu_rf_nwp,L1,Hourly,32.5042796850535,33.033460601584,7.51384230386136,21.9749487848225,42.8821627863787,-1.57627320290241,-1.65275981375347,0.322996043157446,24.7131977093762,24.3733147911407,56.597606589056,57.0378239730791,5
ctbu_rf_nwp,L2,Daily,23.1087232253399,23.8403800171108,4.84023074201558,12.696838139927,37.7631821622967,-1.64490793920108,-1.64892742256331,0.470159855547953,24.6918126590359,24.7837002577106,10.0786739940877,10.1077872473643,318
ctbu_rf_nwp,L2,Hourly,47.0840995122267,48.2481007787968,8.9420110027242,27.6627463144914,72.9935880624434,-1.64490793921175,-1.64892742256331,0.470159855543535,21.3549276177334,21.6766062409913,51.479097793273,51.620136494132,318
ctbu_sarimax,L0,Daily,11.3281877708815,11.3281877708815,,11.3281877708815,11.3281877708815,-3.48930994643969,-3.48930994643969,,44.0061219500904,44.0061219500904,4.88713937993051,4.88713937993051,1
ctbu_sarimax,L0,Hourly,30.6572409770923,30.6572409770923,,30.6572409770923,30.6572409770923,-3.4893099464397,-3.4893099464397,,11.4350705630878,11.4350705630878,57.6944872410518,57.6944872410518,1
ctbu_sarimax,L1,Daily,15.3419122441485,15.4950115984957,4.05332464068511,10.0692036228047,21.355151013399,-3.24282509590805,-3.01142351955641,1.41753734844088,37.7096714861403,37.5366447531697,6.71163213668775,6.45671229791504,5
ctbu_sarimax,L1,Hourly,36.3946626875048,34.8902433673876,10.6241123186957,23.6034593044442,53.0945940607223,-3.24282509590804,-3.01142351955641,1.41753734844086,16.2357550965354,17.8210621993183,58.5610105780518,58.5567492953507,5
ctbu_sarimax,L2,Daily,22.4627208664301,22.9572374464779,5.35530590167256,12.5077381331959,39.1236382499426,-3.56994729295986,-3.45565233051252,1.58396841580446,27.0124071691335,27.3268431718378,10.0897760047188,10.0120969086256,318
ctbu_sarimax,L2,Hourly,53.0781107728293,52.2531568515274,12.0426839821076,28.8065042307291,82.4493749998105,-3.56994729296109,-3.45565233051251,1.58396841580317,11.6143387583599,13.1269608138572,58.5569399274968,58.8533477681219,318
ctbu_sarimax_nwp,L0,Daily,10.5853092270553,10.5853092270553,,10.5853092270553,10.5853092270553,-1.2496185624258,-1.2496185624258,,47.6780817931131,47.6780817931131,4.42375716820083,4.42375716820083,1
ctbu_sarimax_nwp,L0,Hourly,23.8531339463727,23.8531339463727,,23.8531339463727,23.8531339463727,-1.2496185624258,-1.2496185624258,,31.0912835767493,31.0912835767493,56.3254442671073,56.3254442671073,1
ctbu_sarimax_nwp,L1,Daily,14.8249091077365,14.8889102102573,3.84698875721724,9.86003786204123,20.5990390484983,-1.18135716576631,-1.07963311610617,0.646840868559144,39.7144363678653,38.8341848277842,6.31021876919783,6.03577795451403,5
ctbu_sarimax_nwp,L1,Hourly,31.3913065690812,30.9588412160023,7.87451586770619,21.6235980825446,43.6251168944141,-1.18135716576631,-1.07963311610618,0.646840868559139,27.2563535132168,26.0485084631427,57.3950769195697,57.5388619229281,5
ctbu_sarimax_nwp,L2,Daily,21.9872393895752,22.5179928519955,5.29633422685392,12.3454000776622,39.2672045565237,-1.27861265908973,-1.34297978436021,0.977655795630722,28.5789760847324,28.4564025660944,9.70033302558483,9.66595423038978,318
ctbu_sarimax_nwp,L2,Hourly,49.3105966024692,49.3920023060035,10.5207651537596,28.3407536840337,78.6403011929179,-1.27861265909076,-1.34297978436021,0.977655795629288,17.8094190205289,19.0903233296324,54.092215635328,54.8096618716005,318
ctwlsv_ets,L0,Daily,13.6757059636043,13.6757059636043,,13.6757059636043,13.6757059636043,1.42456820134279,1.42456820134279,,32.4026201312786,32.4026201312786,5.32454206537826,5.32454206537826,1
ctwlsv_ets,L0,Hourly,23.6623689797389,23.6623689797389,,23.6623689797389,23.6623689797389,1.42456820134279,1.42456820134279,,31.6423796725,31.6423796725,55.3422824067204,55.3422824067204,1
ctwlsv_ets,L1,Daily,17.0418292787266,17.5730869452173,4.05985938661963,11.1970830670678,22.1899383108111,1.29890524992101,1.27951742938096,0.476189317422217,30.7307282979301,30.5846503383901,6.9524994638514,6.77955247199687,5
ctwlsv_ets,L1,Hourly,30.2370840618017,31.0021028428311,6.97431822354809,20.1884886354198,39.6001486486711,1.29890524992101,1.27951742938096,0.476189317422212,30.0019092947334,29.710788132333,56.5897550531425,56.8793550482073,5
ctwlsv_ets,L2,Daily,22.2891658598104,23.1157186019818,4.7464155237625,12.1858557711136,37.0601706733603,1.44978315196724,1.30729850233589,0.870475101271269,27.4395400101996,27.5575351021095,9.54665673276396,9.52252944729812,318
ctwlsv_ets,L2,Hourly,44.4652543230065,45.9391322639713,8.52100941253762,25.884155459647,69.5796999491743,1.44978315196724,1.30729850233589,0.870475101271267,25.771762501855,26.017433005577,52.1924416888669,52.6805140293686,318
